every_date,cat,query,answer,correct,boundary
2024-06-09,B,报告中提到的餐饮板块的广州酒家的业绩如何？,报告中提到的餐饮板块的广州酒家2024Q1的营收和归母净利润均有所增长。,1,0
2024-06-09,B,报告中提到的酒店板块的亚朵的业绩如何？,报告中提到的酒店板块的亚朵2023年的营收和归母净利润均大幅增长。,0,0
2024-06-09,B,报告中提到的酒店板块的首旅酒店的拓店情况如何？,报告中提到的酒店板块的首旅酒店2024Q1新开了205家店。,1,0
2024-06-08,A,皇玺集团在2023年第一季度的其他收入及其他收益或亏损是多少？,约0.1百万港元。,0,1
2024-06-08,A,皇玺集团在2023年第一季度的物业租金及相关开支是多少？,约1.0百万港元。,0,0
2024-06-07,A,皇玺集团的主要营业地点在哪里？,香港九龙青山道489–491号香港工业中心A座6楼603室。,0,0
2024-06-07,A,投资GEM上市公司的股票存在哪些风险？,投资GEM的公司相比主板公司有更高的投资风险，可能承受更大的市场波动风险，且无法保证高流通量市场。,0,0
2024-06-07,A,皇玺集团在2023年第一季度的未经审核收益是多少？,约6.8百万港元。,0,0
2024-06-07,A,皇玺集团在2023年第一季度的每股基本及摊薄亏损是多少？,0.18港仙。,0,1
2024-06-07,A,皇玺集团在2023年第一季度的员工成本是多少？,约4.2百万港元。,0,1
2024-06-07,A,皇玺集团在2023年第一季度的其他收入及其他收益或亏损是多少？,约0.1百万港元。,1,1
2024-06-07,A,皇玺集团在2023年第一季度的物业租金及相关开支是多少？,约1.0百万港元。,1,1
2024-06-06,A,皇玺集团在2023年第一季度的未经审核收益是多少？,约6.8百万港元。,1,1
2024-06-06,A,投资GEM上市公司的股票存在哪些风险？,投资GEM的公司相比主板公司有更高的投资风险，可能承受更大的市场波动风险，且无法保证高流通量市场。,1,1
2024-06-06,A,皇玺集团在2023年第一季度的每股基本及摊薄亏损是多少？,0.18港仙。,1,1
2024-06-06,A,皇玺集团在2023年第一季度的员工成本是多少？,约4.2百万港元。,1,1
2024-06-06,A,皇玺集团的主要营业地点在哪里？,香港九龙青山道489–491号香港工业中心A座6楼603室。,1,1
2024-06-05,B,报告中提到的酒店板块的亚朵的业绩如何？,报告中提到的酒店板块的亚朵2023年的营收和归母净利润均大幅增长。,1,0
2024-06-05,B,报告中提到的餐饮板块的广州酒家的业绩如何？,报告中提到的餐饮板块的广州酒家2024Q1的营收和归母净利润均有所增长。,0,0
2024-06-05,B,报告中提到的酒店板块的首旅酒店的拓店情况如何？,报告中提到的酒店板块的首旅酒店2024Q1新开了205家店。,0,0
